"ID","MODEL","PAR1","PAR2","PAR3","PAR4","ID.NEW","Group"
"MA0289","2PL",1.54319329710613,0.798206907948538,NA,NA,"MA0275","FT"
"MA0291","2PL",1.50938973011296,-0.415270283423281,NA,NA,"MA0276","SP"
"MA0292","2PL",1.56631263081026,0.447737294340981,NA,NA,"MA0277","EE"
"MA0295","2PL",1.43745014899931,2.05888696474917,NA,NA,"MA0278","NS"
"MA0303","2PL",1.49378411530329,1.97662591309467,NA,NA,"MA0279","SP"
"MA0306","2PL",1.4686716081212,2.22486443809135,NA,NA,"MA0280","GM"
"MA0311","2PL",1.74916365065121,1.05742191412457,NA,NA,"MA0281","SP"
"MA0317","2PL",1.5472561378674,-0.156009328824179,NA,NA,"MA0282","FT"
"MA0329","2PL",1.4160115474237,-0.893864301734222,NA,NA,"MA0283","SP"
"MA0332","2PL",1.47875262712995,-1.57966049653932,NA,NA,"MA0284","EE"
"MA0349","2PL",1.4092003129956,0.897492409683882,NA,NA,"MA0285","EE"
"MA0354","2PL",1.65230935049275,-0.147845637359605,NA,NA,"MA0286","EE"
"MA0361","2PL",1.74122437119236,-1.99680947986455,NA,NA,"MA0287","GM"
"MA0362","2PL",1.69715485761811,1.38335351460081,NA,NA,"MA0288","EE"
"MA0367","2PL",1.46090174841842,0.757449493859024,NA,NA,"MA0289","EE"
"MA0370","2PL",1.59104137295256,-1.06439073391735,NA,NA,"MA0290","FT"
"MA0382","2PL",1.44588688136394,1.48339920040043,NA,NA,"MA0291","FT"
"MA0384","2PL",1.40866827650993,0.22132335782022,NA,NA,"MA0292","EE"
"MA0388","2PL",1.42739751764652,0.401596666414903,NA,NA,"MA0293","EE"
"MA0395","2PL",1.50124964495234,0.227524834822416,NA,NA,"MA0294","FT"
"MA0398","2PL",1.45999335708256,0.718922800140715,NA,NA,"MA0295","GM"
"MA0406","2PL",1.50782750766522,-0.171529062707388,NA,NA,"MA0296","NS"
"MA0415","2PL",1.4535076018755,-0.181336469586328,NA,NA,"MA0297","FT"
"MA0417","2PL",1.77910036646232,1.10163196431026,NA,NA,"MA0298","EE"
"MA0423","2PL",1.67763255487536,-0.085333539297792,NA,NA,"MA0299","SP"
"MA0431","2PL",1.44463700738873,-2.08100296086076,NA,NA,"MA0300","EE"
"MA0441","2PL",1.40176514931281,-0.460059819189911,NA,NA,"MA0301","SP"
"MA0458","2PL",1.64790886457063,-1.79832748947473,NA,NA,"MA0302","FT"
"MA0496","2PL",1.70079966230364,-1.1051777672849,NA,NA,"MA0303","EE"
"MA0504","2PL",1.76591637018348,0.0580275570689374,NA,NA,"MA0304","EE"
"MA0505","2PL",1.46858784898736,1.24850021350498,NA,NA,"MA0305","NS"
"MA0509","2PL",1.44976510968768,1.41584002434661,NA,NA,"MA0306","NS"
"MA0513","2PL",1.42980012600859,-0.773679089016025,NA,NA,"MA0307","NS"
"MA0522","2PL",1.50242301876031,0.514960582951313,NA,NA,"MA0308","NS"
"MA0527","2PL",1.40100109270766,0.191802315129633,NA,NA,"MA0309","FT"
"MA0535","2PL",1.60495933721705,1.69243459622469,NA,NA,"MA0310","SP"
"MA0538","2PL",1.46869519062222,1.99884304710478,NA,NA,"MA0311","GM"
"MA0545","2PL",1.43402168132053,2.03588915391699,NA,NA,"MA0312","GM"
"MA0551","2PL",1.68196898936895,0.559273607012339,NA,NA,"MA0313","EE"
"MA0554","2PL",1.75876114885875,-0.425050015524144,NA,NA,"MA0314","SP"
"MA0566","2PL",1.53262167620257,1.17964789100235,NA,NA,"MA0315","EE"
"MA0576","2PL",1.58005683455713,1.66258316381412,NA,NA,"MA0316","GM"
"MA0579","2PL",1.41042676172223,-1.97012235937322,NA,NA,"MA0317","EE"
"MA0596","2PL",1.45032047241635,1.11829207059817,NA,NA,"MA0318","FT"
"MA0612","2PL",1.61834440509643,0.319121222054388,NA,NA,"MA0319","SP"
"MA0631","2PL",1.58658356637907,-0.914090824785375,NA,NA,"MA0320","FT"
"MA0007","2PL",1.48709194438357,1.1782721399711,NA,NA,"MA0321","GM"
"MA0020","2PL",1.39530240840803,0.648731769892205,NA,NA,"MA0322","EE"
"MA0022","2PL",1.58589987729685,1.47280936433441,NA,NA,"MA0323","GM"
"MA0032","2PL",1.77652047796982,0.234925647064733,NA,NA,"MA0324","FT"
"MA0041","2PL",1.68621690194983,-0.12109634017645,NA,NA,"MA0325","EE"
